id	name	x	y	w	h
42:4941	V2 Dashboard · Desktop 1440	3200	9890	1440	1551
42:5110	V2 Dashboard · Desktop 1440	4800	9890	1440	1210
81:2827	V2 Dashboard · Desktop 1440	6400	9890	1440	1415
87:10317	V2 Dashboard · Desktop 1440	8000	9890	1440	1105
81:2058	V2 Dashboard · Desktop 1440	0	12061	1440	980
92:16499	V2 Dashboard · Desktop 1440	1600	12061	1440	986
87:5363	V2 Dashboard · Desktop 1440	3200	12061	1440	980
81:2255	V2 Dashboard · Desktop 1440	4800	12061	1440	980
89:13937	V2 Dashboard · Desktop 1440	6400	12061	1440	900
87:5561	V2 Dashboard · Desktop 1440	8000	12061	1440	999
17:1623	V2 Dashboard · Desktop 1440	9600	12061	1440	1170
89:13357	V2 Dashboard · Desktop 1440	11200	12061	1440	1111
17:1848	V2 Dashboard · Desktop 1440	0	13391	1440	900
66:439	V2 Dashboard · Desktop 1440	1600	13391	1440	1179
87:4643	V2 Dashboard · Desktop 1440	3200	13391	1440	1174
87:4821	V2 Dashboard · Desktop 1440	4800	13391	1440	1111
90:15752	V2 Dashboard · Desktop 1440	6400	13391	1440	1174
89:13120	V2 Dashboard · Desktop 1440	8000	13391	1440	900
89:12926	V2 Dashboard · Desktop 1440	9600	13391	1440	1274
87:5175	V2 Dashboard · Desktop 1440	11200	13391	1440	1262
87:4997	V2 Dashboard · Desktop 1440	0	14825	1440	1111
17:3295	V2 Dashboard · Desktop 1440	1600	14825	1440	900
66:270	V2 Dashboard · Desktop 1440	3200	14825	1440	1080
87:8030	V2 Dashboard · Desktop 1440	4800	14825	1440	900
67:946	V2 Dashboard · Desktop 1440	6400	14825	1440	1080
17:1445	V2 Dashboard · Desktop 1440	8000	14825	1440	1007
17:3118	V2 Dashboard · Desktop 1440	9600	14825	1440	860
66:101	V2 Dashboard · Desktop 1440	0	16556	1440	1080
80:657	V2 Dashboard · Desktop 1440	1600	16556	1440	1680
87:10926	V2 Dashboard · Desktop 1440	3200	16556	1440	900
87:5974	V2 Dashboard · Desktop 1440	4800	16556	1440	1080
87:5746	V2 Dashboard · Desktop 1440	6400	16556	1440	1080
87:6751	V2 Dashboard · Desktop 1440	8000	16556	1440	954
17:2236	V2 Dashboard · Desktop 1440	9600	16556	1440	900
79:2	V2 Dashboard · Desktop 1440	11200	16556	1440	1097
74:407	V2 Dashboard · Desktop 1440	0	18396	1440	900
89:13533	V2 Dashboard · Desktop 1440	1600	18396	1440	900
79:162	V2 Dashboard · Desktop 1440	3200	18396	1440	900
87:6199	V2 Dashboard · Desktop 1440	4800	18396	1440	1273
87:6490	V2 Dashboard · Desktop 1440	6400	18396	1440	1115
92:16712	V2 Dashboard · Desktop 1440	8000	18396	1440	1192
67:608	V2 Dashboard · Desktop 1440	9600	18396	1440	1140
81:2437	V2 Dashboard · Desktop 1440	11200	18396	1440	1432
79:322	V2 Dashboard · Desktop 1440	0	19988	1440	1305
134:2	V2 Onboarding · Your business, basics	0	20400	1440	1127
134:104	V2 Onboarding · Your business, the money	1600	20400	1440	1127
134:206	V2 Onboarding · Website check, running	3200	20400	1440	1127
134:308	V2 Onboarding · Website report	4800	20400	1440	1127
134:410	V2 Onboarding · Website report, one finding	6400	20400	1440	1127
87:10587	V2 Dashboard · Desktop 1440	0	21913	1440	900
88:11449	V2 Dashboard · Desktop 1440	1600	21913	1440	1153
88:11695	V2 Dashboard · Desktop 1440	3200	21913	1440	1191
88:11952	V2 Dashboard · Desktop 1440	4800	21913	1440	1035
88:12203	V2 Dashboard · Desktop 1440	6400	21913	1440	1262
88:12395	V2 Dashboard · Desktop 1440	8000	21913	1440	1135
88:12678	V2 Dashboard · Desktop 1440	9600	21913	1440	983
17:2639	V2 Dashboard · Desktop 1440	0	23795	1440	1401
87:7815	V2 Dashboard · Desktop 1440	1600	23795	1440	1422
90:14738	V2 Dashboard · Desktop 1440	3200	23795	1440	1422
67:1622	V2 Dashboard · Desktop 1440	4800	23795	1440	1080
74:644	V2 Dashboard · Desktop 1440	6400	23795	1440	1080
67:1115	V2 Dashboard · Desktop 1440	8000	23795	1440	1080
80:975	V2 Dashboard · Desktop 1440	9600	23795	1440	1245
80:1256	V2 Dashboard · Desktop 1440	11200	23795	1440	1169
87:6993	V2 Dashboard · Desktop 1440	0	25377	1440	965
87:7262	V2 Dashboard · Desktop 1440	1600	25377	1440	989
90:15292	V2 Dashboard · Desktop 1440	3200	25377	1440	900
90:15930	V2 Dashboard · Desktop 1440	4800	25377	1440	1008
81:1833	V2 Dashboard · Desktop 1440	6400	25377	1440	963
80:1615	V2 Dashboard · Desktop 1440	8000	25377	1440	1006
67:1284	V2 Dashboard · Desktop 1440	9600	25377	1440	1080
17:2967	V2 Dashboard · Desktop 1440	11200	25377	1440	820
87:7528	V2 Dashboard · Desktop 1440	0	26617	1440	957
67:1453	V2 Dashboard · Desktop 1440	1600	26617	1440	1080
17:2816	V2 Dashboard · Desktop 1440	3200	26617	1440	820
67:777	V2 Dashboard · Desktop 1440	0	28317	1440	1080
87:8744	V2 Dashboard · Desktop 1440	1600	28317	1440	1132
89:13753	V2 Dashboard · Desktop 1440	3200	28317	1440	999
89:14118	V2 Dashboard · Desktop 1440	4800	28317	1440	994
89:14295	V2 Log in	6400	28317	1440	900
81:3137	V2 Dashboard · Desktop 1440	8000	28317	1440	1313
17:2479	V2 Dashboard · Desktop 1440	0	30250	1440	960
70:230	V2 Dashboard · Desktop 1440	1600	30250	1440	1116
87:9604	V2 Dashboard · Desktop 1440	3200	30250	1440	1244
76:2922	V2 Dashboard · Desktop 1440	4800	30250	1440	1000
74:813	V2 Dashboard · Desktop 1440	6400	30250	1440	1684
82:3896	V2 Dashboard · Desktop 1440	8000	30250	1440	1497
76:1584	V2 Dashboard · Desktop 1440	9600	30250	1440	1499
76:1811	V2 Dashboard · Desktop 1440	11200	30250	1440	1490
76:2084	V2 Dashboard · Desktop 1440	0	32094	1440	1111
76:2256	V2 Dashboard · Desktop 1440	1600	32094	1440	1128
87:9836	V2 Dashboard · Desktop 1440	3200	32094	1440	1174
76:2494	V2 Dashboard · Desktop 1440	4800	32094	1440	900
90:15152	V2 Log in	6400	32094	1440	900
76:2713	V2 Dashboard · Desktop 1440	8000	32094	1440	1473
90:15498	V2 Dashboard · Desktop 1440	9600	32094	1440	1111
87:11170	V2 Dashboard · Desktop 1440	11200	32094	1440	1556
82:4131	V2 Dashboard · Desktop 1440	0	33810	1440	1266
82:3550	V2 Dashboard · Desktop 1440	1600	33810	1440	1766
70:153	V2 Weekly digest email	0	36196	1440	900
87:9369	V2 · Email · Monday, special weeks	1600	36196	1440	820
89:14430	V2 · Email · Monday, stale and suspended weeks	3200	36196	1440	804
82:3472	V2 Weekly digest email	4800	36196	1440	940
87:8974	V2 · Email · Sign-in	6400	36196	1440	620
87:9009	V2 · Email · Team	8000	36196	1440	739
87:9060	V2 · Email · Launch	9600	36196	1440	679
87:9103	V2 · Email · Ad and account problems	11200	36196	1440	741
87:9156	V2 · Email · Money	0	37296	1440	696
87:9210	V2 · Email · Tracking and billing	1600	37296	1440	712
87:9263	V2 · Email · Privacy	3200	37296	1440	728
89:14503	V2 · Email · Category reviews	4800	37296	1440	712
87:9316	V2 · Email · Platform notices	6400	37296	1440	759
89:14556	V2 · Email · Account closed and agency brand	8000	37296	1440	835
87:9493	V2 · Report · PDF page 2	0	38751	794	1123
87:9560	V2 · Report · PDF page 1, agency	954	38751	794	1123
87:9442	V2 · Report · PDF page 1	1908	38751	794	1123
74:1459	V2 · Mobile · Home	0	40494	390	844
74:1054	V2 · Mobile · Home	490	40494	390	844
74:1135	V2 · Mobile · Home	980	40494	390	844
74:1216	V2 · Mobile · Home	1470	40494	390	844
74:1297	V2 · Mobile · Home	1960	40494	390	844
74:1378	V2 · Mobile · Home	2450	40494	390	844
90:16087	V2 · Mobile · Home	2940	40494	390	844
90:16168	V2 · Mobile · Home	3430	40494	390	844
90:16249	V2 · Mobile · Home	3920	40494	390	844
87:8594	V2 · Mobile · Home	4410	40494	390	844
87:8668	V2 · Mobile · Home	0	41498	390	844
